Sex,Agemos,L,M,S,P5,P10,P25,P50,P75,P90,P95
2,101.5,-2.502569666,16.01546483,0.121858355,13.61409768,14.0375053,14.86203913,16.01546483,17.55912371,19.52329364,21.15381165
2,102.5,-2.48095189,16.05516984,0.12277087,13.63077388,14.05808613,14.89042805,16.05516984,17.61454239,19.59934557,21.24727049
2,103.5,-2.459785573,16.09550688,0.123673085,13.6480912,14.07930747,14.91945533,16.09550688,17.67057478,19.67596331,21.34122666
2,104.5,-2.439080117,16.13645881,0.124564484,13.6660455,14.1011628,14.94910996,16.13645881,17.72719638,19.75311515,21.43564505
2,105.5,-2.418838304,16.17800955,0.125444639,13.68463148,14.12364494,14.97938101,16.17800955,17.78438449,19.830771,21.5304909
2,106.5,-2.399063683,16.22014281,0.126313121,13.70384401,14.1467468,15.01025752,16.22014281,17.84211614,19.90890079,21.62573005
2,107.5,-2.379756861,16.26284277,0.127169545,13.72367745,14.17046092,15.04172856,16.26284277,17.9003692,19.98747533,21.72132885
2,108.5,-2.360920527,16.30609316,0.128013515,13.74412656,14.19478013,15.0737831,16.30609316,17.95912092,20.06646519,21.8172543
2,109.5,-2.342557728,16.34987759,0.128844639,13.7651862,14.21969726,15.10641007,16.34987759,18.01834843,20.14584104,21.91347402
2,110.5,-2.324663326,16.39418118,0.129662637,13.78684956,14.24520415,15.13959859,16.39418118,18.07803138,20.22557581,22.00995586
2,111.5,-2.307240716,16.43898741,0.130467138,13.80911155,14.27129365,15.17333749,16.43898741,18.13814687,20.30564061,22.10666864
2,112.5,-2.290287663,16.48428082,0.131257852,13.83196589,14.29795787,15.20761574,16.48428082,18.19867379,20.38600821,22.20358151
2,113.5,-2.273803847,16.53004554,0.132034479,13.85540667,14.32518913,15.24242219,16.53004554,18.25959047,20.46665117,22.30066429
2,114.5,-2.257782149,16.57626713,0.132796819,13.87942647,14.35297886,15.27774591,16.57626713,18.32087764,20.5475442,22.39788709
2,115.5,-2.242227723,16.62292864,0.133544525,13.90402053,14.38132004,15.31357557,16.62292864,18.38251202,20.628659,22.49522108
2,116.5,-2.227132805,16.67001572,0.134277436,13.92918106,14.4102038,15.34990008,16.67001572,18.44447472,20.70997108,22.59263755
2,117.5,-2.212495585,16.71751288,0.134995324,13.95490163,14.43962209,15.38670828,16.71751288,18.50674506,20.79145469,22.69010855
2,118.5,-2.19831275,16.76540496,0.135697996,13.98117536,14.46956659,15.42398894,16.76540496,18.56930296,20.87308482,22.78760665
2,119.5,-2.184580762,16.81367689,0.136385276,14.00799522,14.50002883,15.46173083,16.81367689,18.63212859,20.9548369,22.88510501
2,120.5,-2.171295888,16.86231366,0.137057004,14.03535405,14.5310003,15.49992271,16.86231366,18.69520235,21.03668675,22.98257733
2,121.5,-2.158454232,16.91130036,0.137713039,14.06324456,14.56247234,15.53855329,16.91130036,18.75850486,21.11861063,23.07999788
2,122.5,-2.146051754,16.96062216,0.138353254,14.0916593,14.59443621,15.57761127,16.96062216,18.82201698,21.20058521,23.17734149
2,123.5,-2.134084303,17.0102643,0.138977537,14.12059071,14.62688307,15.61708531,17.0102643,18.8857198,21.28258757,23.27458358
2,124.5,-2.122547629,17.06021213,0.139585795,14.15003106,14.65980398,15.65696405,17.06021213,18.94959465,21.36459523,23.3717001
2,125.5,-2.111437411,17.11045106,0.140177947,14.17997251,14.69318989,15.69723611,17.11045106,19.01362305,21.44658611,23.46866758
2,126.5,-2.100749266,17.16096656,0.140753927,14.21040706,14.72703166,15.73789008,17.16096656,19.07778681,21.52853856,23.56546313
2,127.5,-2.090478774,17.21174424,0.141313686,14.2413266,14.76132003,15.77891452,17.21174424,19.14206792,21.61043134,23.6620644
2,128.5,-2.080621484,17.26276973,0.141857186,14.27272286,14.79604567,15.82029796,17.26276973,19.20644863,21.69224364,23.7584496
2,129.5,-2.071172932,17.31402878,0.142384404,14.30458743,14.83119912,15.86202891,17.31402878,19.2709114,21.77395506,23.85459754
2,130.5,-2.062128649,17.3655072,0.142895332,14.33691178,14.86677084,15.90409584,17.3655072,19.33543894,21.85554562,23.95048756
2,131.5,-2.053484173,17.4171909,0.143389972,14.36968723,14.90275116,15.94648722,17.4171909,19.40001418,21.93699575,24.04609957
2,132.5,-2.045235058,17.46906585,0.143868341,14.40290497,14.93913036,15.98919146,17.46906585,19.46462028,22.01828633,24.14141407
2,133.5,-2.03737688,17.52111811,0.144330469,14.43655605,14.97589856,16.03219696,17.52111811,19.52924064,22.09939861,24.23641208
2,134.5,-2.029906684,17.57333347,0.144776372,14.47063181,15.01304607,16.07549205,17.57333347,19.59385826,22.18031382,24.33107526
2,135.5,-2.022817914,17.62569869,0.145206138,14.50512237,15.05056245,16.11906513,17.62569869,19.65845792,22.26101479,24.4253857
2,136.5,-2.016107084,17.67819987,0.145619819,14.54001862,15.08843769,16.1629045,17.67819987,19.72302336,22.34148377,24.51932616
2,137.5,-2.009769905,17.7308234,0.146017491,14.57531107,15.12666154,16.20699844,17.7308234,19.78753889,22.42170373,24.61287993
2,138.5,-2.003802134,17.78355575,0.146399239,14.61099007,15.16522362,16.25133521,17.78355575,19.85198907,22.50165801,24.70603086
2,139.5,-1.998199572,17.83638347,0.146765161,14.64704584,15.20411349,16.29590305,17.83638347,19.91635869,22.58133043,24.79876336
2,140.5,-1.992958064,17.88929321,0.147115364,14.68346846,15.24332057,16.34069017,17.88929321,19.98063276,22.66070517,24.89106241
2,141.5,-1.988073505,17.94227168,0.147449967,14.72024789,15.28283421,16.38568475,17.94227168,20.04479655,22.73976686,24.98291353
2,142.5,-1.983541835,17.9953057,0.147769097,14.75737391,15.32264362,16.43087493,17.9953057,20.10883554,22.81850056,25.07430281
2,143.5,-1.979359041,18.04838216,0.148072891,14.7948362,15.36273794,16.47624886,18.04838216,20.17273546,22.89689172,25.16521691
2,144.5,-1.975521156,18.10148804,0.148361495,14.83262428,15.40310619,16.52179463,18.10148804,20.23648228,22.97492622,25.25564304
2,145.5,-1.972024258,18.15461039,0.148635067,14.87072753,15.44373731,16.56750033,18.15461039,20.30006219,23.05259037,25.34556897
2,146.5,-1.968864465,18.20773639,0.148893769,14.90913518,15.4846201,16.61335399,18.20773639,20.36346164,23.12987089,25.43498301
2,147.5,-1.966037938,18.26085325,0.149137776,14.94783635,15.52574328,16.65934366,18.26085325,20.42666729,23.20675491,25.52387405
2,148.5,-1.963540872,18.31394832,0.14936727,14.98681999,15.56709547,16.70545732,18.31394832,20.48966607,23.28322999,25.61223153
2,149.5,-1.961369499,18.36700902,0.149582439,15.0260749,15.60866519,16.75168297,18.36700902,20.55244514,23.35928412,25.70004544
2,150.5,-1.959520079,18.42002284,0.149783482,15.06558978,15.65044083,16.79800855,18.42002284,20.61499187,23.43490568,25.78730634
2,151.5,-1.9579889,18.47297739,0.149970604,15.10535314,15.6924107,16.844422,18.47297739,20.67729392,23.51008349,25.87400532
2,152.5,-1.956772271,18.52586035,0.15014402,15.14535337,15.734563,16.89091121,18.52586035,20.73933915,23.58480678,25.96013405
2,153.5,-1.95586652,18.57865951,0.15030395,15.18557871,15.77688582,16.93746408,18.57865951,20.80111569,23.65906521,26.04568474
2,154.5,-1.955267984,18.63136275,0.150450621,15.22601726,15.81936717,16.98406846,18.63136275,20.86261191,23.73284885,26.13065016
2,155.5,-1.954973011,18.68395801,0.15058427,15.26665697,15.86199492,17.0307122,18.68395801,20.9238164,23.80614819,26.21502362
2,156.5,-1.954977947,18.73643338,0.150705138,15.30748565,15.90475685,17.07738309,18.73643338,20.98471803,23.87895414,26.298799
2,157.5,-1.955279136,18.788777,0.150813475,15.34849095,15.94764066,17.12406895,18.788777,21.04530589,23.95125804,26.38197072
2,158.5,-1.955872909,18.84097713,0.150909535,15.38966039,15.9906339,17.17075754,18.84097713,21.10556932,24.02305164,26.46453376
2,159.5,-1.956755579,18.89302212,0.150993582,15.43098133,16.03372404,17.21743662,18.89302212,21.16549792,24.0943271,26.54648363
2,160.5,-1.957923436,18.94490041,0.151065883,15.47244099,16.07689846,17.2640939,18.94490041,21.22508152,24.16507702,26.62781643
