Sex,Agemos,L,M,S,P5,P10,P25,P50,P75,P90,P95
2,125.5,0.432104409,140.5434787,0.049638596,129.3334014,131.7639151,135.8826474,140.5434787,145.2937779,149.6460289,152.2856189
2,126.5,0.46917993,141.0396832,0.049812203,129.7346372,132.1884911,136.3432832,141.0396832,145.8205935,150.1959657,152.8473131
2,127.5,0.508943272,141.5471945,0.049975355,130.1466666,132.6242751,136.8154369,141.5471945,146.3579283,150.7552278,153.4174019
2,128.5,0.551354277,142.0663731,0.050125012,130.5704957,133.072142,137.299748,142.0663731,146.9058529,151.3236226,153.9955367
2,129.5,0.596307363,142.59742,0.050257992,131.0070717,133.5328789,137.7967284,142.59742,147.4642617,151.9007796,154.581196
2,130.5,0.643626542,143.1403553,0.050371024,131.4572565,134.0071586,138.3067365,143.1403553,148.0328573,152.4861414,155.1736815
2,131.5,0.693062173,143.6949981,0.050460835,131.9217986,134.4955119,138.8299523,143.6949981,148.6111378,153.0789588,155.7721177
2,132.5,0.744289752,144.2609497,0.050524236,132.4013028,134.9982982,139.3663536,144.2609497,149.1983881,153.6782905,156.3754566
2,133.5,0.79691098,144.8375809,0.050558224,132.8961979,135.5156778,139.9156938,144.8375809,149.7936767,154.2830074,156.9824866
2,134.5,0.85045728,145.4240246,0.050560083,133.4067049,136.0475846,140.4774848,145.4240246,150.3958583,154.8918033,157.591847
2,135.5,0.904395871,146.0191748,0.050527494,133.9328066,136.5937022,141.0509836,146.0191748,151.0035823,155.5032105,158.2020466
2,136.5,0.958138449,146.621692,0.050458634,134.4742195,137.1534445,141.6351863,146.621692,151.6153083,156.1156207,158.8114866
2,137.5,1.011054559,147.2300177,0.050352269,135.0303699,137.7259419,142.228829,147.2300177,152.2293288,156.7273114,159.4184879
2,138.5,1.062474568,147.8423918,0.050207825,135.6003795,138.3100351,142.8303943,147.8423918,152.8437944,157.336476,160.0213216
2,139.5,1.111727029,148.4568879,0.050025434,136.1830524,138.9042785,143.4381342,148.4568879,153.4567526,157.9412574,160.6182378
2,140.5,1.158135105,149.0714413,0.049805967,136.7768804,139.5069517,144.0500909,149.0714413,154.0661803,158.5397832,161.2075007
2,141.5,1.201050821,149.6838943,0.049551023,137.3800519,140.1160824,144.6641345,149.6838943,154.6700274,159.1302018,161.7874182
2,142.5,1.239852328,150.2920328,0.049262895,137.9904798,140.7294775,145.2779986,150.2920328,155.2662534,159.710717,162.3563754
2,143.5,1.274006058,150.8936469,0.048944504,138.6058289,141.3447662,145.8893375,150.8936469,155.8528786,160.2796226,162.9128551
2,144.5,1.303044695,151.4865636,0.048599314,139.2235689,141.9594471,146.4957662,151.4865636,156.4280126,160.8353311,163.4554684
2,145.5,1.326605954,152.0686985,0.048231224,139.8410247,142.5709442,147.0949169,152.0686985,156.9898953,161.3763995,163.9829705
